ST Rotation Vector|-0.08634577|0.06270252|0.90829223|4.2E-45|-1.0|1395861576659
ST Rotation Vector|-0.10102975|0.09483345|0.90568864|4.2E-45|-1.0|1395861576679
ST Rotation Vector|-0.11295515|0.12719214|0.902317|4.2E-45|-1.0|1395861576699
ST Rotation Vector|-0.12200147|0.15597829|0.900003|4.2E-45|-1.0|1395861576719
ST Rotation Vector|-0.13020615|0.19274206|0.8972856|4.2E-45|-1.0|1395861576739
ST Rotation Vector|-0.1333492|0.22869524|0.89237213|4.2E-45|-1.0|1395861576764
ST Rotation Vector|-0.12879509|0.2846352|0.8817205|4.2E-45|-1.0|1395861576779
ST Rotation Vector|-0.12166901|0.3428667|0.86776984|4.2E-45|-1.0|1395861576802
ST Rotation Vector|-0.122295976|0.3900625|0.8571061|4.2E-45|-1.0|1395861576824
ST Rotation Vector|-0.11622056|0.42038295|0.85530955|4.2E-45|-1.0|1395861576846
ST Rotation Vector|-0.10366732|0.44261163|0.8535393|4.2E-45|-1.0|1395861576860
ST Rotation Vector|-0.07942417|0.47293082|0.84726197|4.2E-45|-1.0|1395861576878
ST Rotation Vector|-0.041283004|0.49162257|0.84442794|4.2E-45|-1.0|1395861576899
ST Rotation Vector|0.009317458|0.49894536|0.8449633|4.2E-45|-1.0|1395861576919
ST Rotation Vector|0.055666815|0.5011676|0.84540707|4.2E-45|-1.0|1395861576939
ST Rotation Vector|0.081531905|0.49963915|0.8468446|4.2E-45|-1.0|1395861576961
ST Rotation Vector|0.107606426|0.49165288|0.8516132|4.2E-45|-1.0|1395861576979
ST Rotation Vector|0.13341826|0.47978717|0.8570556|4.2E-45|-1.0|1395861576999
ST Rotation Vector|0.1595597|0.4686903|0.860333|4.2E-45|-1.0|1395861577019
ST Rotation Vector|0.18068436|0.45507714|0.8648788|4.2E-45|-1.0|1395861577041
ST Rotation Vector|0.19190724|0.4447616|0.868727|4.2E-45|-1.0|1395861577058
ST Rotation Vector|0.2054585|0.43038073|0.8736356|4.2E-45|-1.0|1395861577078
ST Rotation Vector|0.22204846|0.41286108|0.87782234|4.2E-45|-1.0|1395861577098
ST Rotation Vector|0.23620643|0.39713857|0.88021|4.2E-45|-1.0|1395861577119
ST Rotation Vector|0.24425508|0.38387275|0.88171285|4.2E-45|-1.0|1395861577143
ST Rotation Vector|0.24802002|0.3784368|0.8806745|4.2E-45|-1.0|1395861577163
ST Rotation Vector|0.25941944|0.37666276|0.874424|4.2E-45|-1.0|1395861577179
ST Rotation Vector|0.269884|0.37735876|0.8665517|4.2E-45|-1.0|1395861577199
ST Rotation Vector|0.2802215|0.37916556|0.8579583|4.2E-45|-1.0|1395861577221
ST Rotation Vector|0.2923309|0.38187084|0.84892356|4.2E-45|-1.0|1395861577241
ST Rotation Vector|0.29788217|0.38617533|0.84279495|4.2E-45|-1.0|1395861577268
ST Rotation Vector|0.30095202|0.395541|0.83473754|4.2E-45|-1.0|1395861577290
ST Rotation Vector|0.3024837|0.40249753|0.8286191|4.2E-45|-1.0|1395861577310
ST Rotation Vector|0.3036138|0.4046843|0.82487017|4.2E-45|-1.0|1395861577328
ST Rotation Vector|0.30294967|0.4080365|0.82032394|4.2E-45|-1.0|1395861577349
ST Rotation Vector|0.30175295|0.4135788|0.81537503|4.2E-45|-1.0|1395861577368
ST Rotation Vector|0.30022323|0.42747214|0.8049895|4.2E-45|-1.0|1395861577389
ST Rotation Vector|0.30254465|0.44313765|0.7917458|4.2E-45|-1.0|1395861577409
ST Rotation Vector|0.3115505|0.4556535|0.7758387|4.2E-45|-1.0|1395861577429
ST Rotation Vector|0.31967038|0.46353358|0.7607034|4.2E-45|-1.0|1395861577448
ST Rotation Vector|0.32229522|0.4690381|0.75015014|4.2E-45|-1.0|1395861577469
ST Rotation Vector|0.32342336|0.47786418|0.7369237|4.2E-45|-1.0|1395861577489
ST Rotation Vector|0.32521558|0.48537323|0.72688234|4.2E-45|-1.0|1395861577512
ST Rotation Vector|0.3285133|0.49131742|0.71892613|4.2E-45|-1.0|1395861577531
ST Rotation Vector|0.36143586|0.4939411|0.6891605|4.2E-45|-1.0|1395861577552
ST Rotation Vector|0.3612682|0.5041041|0.6800417|4.2E-45|-1.0|1395861577568
ST Rotation Vector|0.36127958|0.5192656|0.6644257|4.2E-45|-1.0|1395861577589
ST Rotation Vector|0.3662919|0.53338337|0.6459549|4.2E-45|-1.0|1395861577612
ST Rotation Vector|0.35877672|0.5503482|0.6316638|4.2E-45|-1.0|1395861577628
ST Rotation Vector|0.34279066|0.57152206|0.62111956|4.2E-45|-1.0|1395861577648
ST Rotation Vector|0.33383316|0.58640844|0.6127912|4.2E-45|-1.0|1395861577668
ST Rotation Vector|0.33090824|0.5978464|0.60049254|4.2E-45|-1.0|1395861577688
