statusId | label
3|jump
statusId|sensorName|value|timestamp
3|Linear Acceleration Sensor|[0.019868433,-0.17309737,-0.09804821]|1395667125509
3|K3DH Acceleration Sensor|[-0.12258313,2.0975335,9.275456]|1395667125519
3|Gravity Sensor|[-0.3433381,2.2580059,9.634555]|1395667125519
3|Linear Acceleration Sensor|[0.22075498,-0.1604724,-0.35909843]|1395667125519
3|K3DH Acceleration Sensor|[0.095342435,2.1111538,9.030291]|1395667125529
3|Gravity Sensor|[-0.33991432,2.2589529,9.622749]|1395667125529
3|Linear Acceleration Sensor|[0.43525675,-0.14779902,-0.5924587]|1395667125529
3|K3DH Acceleration Sensor|[0.32688835,1.9340894,8.798744]|1395667125539
3|Gravity Sensor|[-0.33649173,2.2598138,9.610567]|1395667125539
3|Linear Acceleration Sensor|[0.6633801,-0.32572436,-0.8118229]|1395667125539
3|K3DH Acceleration Sensor|[0.5720546,1.607201,10.106298]|1395667125549
3|Gravity Sensor|[-0.3330527,2.2605433,9.598077]|1395667125549
3|Linear Acceleration Sensor|[0.9051073,-0.65334237,0.5082216]|1395667125549
3|K3DH Acceleration Sensor|[0.54481393,1.7570249,10.514909]|1395667125561
3|Gravity Sensor|[-0.32949695,2.2610617,9.585183]|1395667125560
3|Linear Acceleration Sensor|[0.87431085,-0.5040368,0.92972565]|1395667125560
3|K3DH Acceleration Sensor|[0.35412905,1.96133,10.256122]|1395667125571
3|Gravity Sensor|[-0.3257625,2.261303,9.572129]|1395667125570
3|Linear Acceleration Sensor|[0.6798916,-0.2999729,0.6839924]|1395667125570
3|K3DH Acceleration Sensor|[0.3405087,2.070293,9.765789]|1395667125581
3|Gravity Sensor|[-0.32173404,2.2611823,9.559098]|1395667125581
3|Linear Acceleration Sensor|[0.66224277,-0.19088936,0.20669079]|1395667125581
3|K3DH Acceleration Sensor|[0.50395286,2.1247742,9.343558]|1395667125591
3|Gravity Sensor|[-0.3173177,2.260643,9.546325]|1395667125591
3|Linear Acceleration Sensor|[0.8212706,-0.13586879,-0.20276642]|1395667125591
